"state","region"
"Alabama","South"
"Alaska","West"
"Arizona","West"
"Arkansas","South"
"California","West"
"Colorado","West"
"Connecticut","Northeast"
"Delaware","South"
"Florida","South"
"Georgia","South"
"Hawaii","West"
"Idaho","West"
"Illinois","North Central"
"Indiana","North Central"
"Iowa","North Central"
"Kansas","North Central"
"Kentucky","South"
"Louisiana","South"
"Maine","Northeast"
"Maryland","South"
"Massachusetts","Northeast"
"Michigan","North Central"
"Minnesota","North Central"
"Mississippi","South"
"Missouri","North Central"
"Montana","West"
"Nebraska","North Central"
"Nevada","West"
"New Hampshire","Northeast"
"New Jersey","Northeast"
"New Mexico","West"
"New York","Northeast"
"North Carolina","South"
"North Dakota","North Central"
"Ohio","North Central"
"Oklahoma","South"
"Oregon","West"
"Pennsylvania","Northeast"
"Rhode Island","Northeast"
"South Carolina","South"
"South Dakota","North Central"
"Tennessee","South"
"Texas","South"
"Utah","West"
"Vermont","Northeast"
"Virginia","South"
"Washington","West"
"West Virginia","South"
"Wisconsin","North Central"
"Wyoming","West"
